회사명	종목코드
진양제약	007370
진양폴리우레탄	010640
진양홀딩스	100250
진양화학	051630
진에어	272450
진원생명과학	011000
진흥기업	002780
차바이오텍	085660
참엔지니어링	009310
참좋은여행	094850
창해에탄올	004650
천보	278280
천일고속	000650
청담러닝	096240
청보산업	013720
청호컴넷	012600
체리부로	066360
체시스	033250
초록뱀	047820
칩스앤미디어	094360
카스	016920
카카오	035720
카페24	042000
카프로	006380
캐스텍코리아	071850
캔서롭	180400
캠시스	050110
컨버즈	109070
컴투스	078340
케어랩스	263700
케어젠	214370
케이디켐	221980
케이맥	043290
케이비아이동국실업	001620
케이사인	192250
케이씨	029460
케이씨씨	002380
케이씨에스	115500
케이씨텍	281820
케이씨티	089150
케이씨티시	009070
케이씨피드	025880
케이아이엔엑스	093320
케이에스피	073010
케이엔더블유	105330
케이엘넷	039420
케이엠	083550
케이엠더블유	032500
케이엠제약	225430
케이탑리츠	145270
케이티	030200
케이티스카이라이프	053210
케이티앤지	033780
케이프	064820
케이피에스	256940
케이피에프	024880
케이피엠테크	042040
케이피티유	054410
켐온	217600
켐트로닉스	089010
켐트로스	220260
코나아이	052400
코너스톤네트웍스	033110
코닉글로리	094860
코다코	046070
코데즈컴바인	047770
코드네이처	078940
코디	080530
코디엠	224060
코렌	078650
코렌텍	104540
코리아나	027050
코리아써키트	007810
코리아에스이	101670
코리아에프티	123410
코리아오토글라스	152330
코맥스	036690
코메론	049430
코미코	183300
코미팜	041960
코세스	089890
코센	009730
코스맥스	192820
코스맥스비티아이	044820
코스맥스엔비티	222040
코스메카코리아	241710
코스모신소재	005070
코스모화학	005420
코스온	069110
코아스	071950
코아스템	166480
코아시아	045970
코엔텍	029960
코오롱	002020
코오롱글로벌	003070
코오롱머티리얼	144620
코오롱생명과학	102940
코오롱인더	120110
코오롱티슈진	950160
코오롱플라스틱	138490
코웰패션	033290
코위버	056360
코이즈	121850
코콤	015710
코텍	052330
코프라	126600
콜마비앤에이치	200130
콤텍시스템	031820
쿠첸	225650
쿠쿠홀딩스	192400
쿠쿠홈시스	284740
큐렉소	060280
큐로	015590
큐로컴	040350
큐로홀딩스	051780
큐리언트	115180
큐브엔터	182360
큐에스아이	066310
크라운제과	264900
크라운해태홀딩스	005740
크로바하이텍	043590
크루셜텍	114120
크리스에프앤씨	110790
크리스탈	083790
크린앤사이언스	045520
클래시스	214150
클리오	237880
키네마스터	139670
키다리스튜디오	020120
키위미디어그룹	012170
키이스트	054780
타이거일렉	219130
탑엔지니어링	065130
태경산업	015890
태경화학	006890
태광	023160
태광산업	003240
태림포장	011280
태양	053620
태양금속공업	004100
태영건설	009410
태웅	044490
태원물산	001420
태평양물산	007980
테고사이언스	191420
테라셈	182690
테라젠이텍스	066700
테스	095610
테스나	131970
테이팩스	055490
테크윙	089030
텔레칩스	054450
텔레필드	091440
텔코웨어	078000
텔콘RF제약	200230
토니모리	214420
토박스코리아	215480
토비스	051360
토탈소프트	045340
토필드	057880
톱텍	108230
투비소프트	079970
트루윈	105550
특수건설	026150
티로보틱스	117730
티비씨	033830
티비에이치글로벌	084870
티씨케이	064760
티앤알바이오팹	246710
티에스이	131290
티에이치엔	019180
티엘아이	062860
티웨이항공	091810
티웨이홀딩스	004870
티케이케미칼	104480
티플랙스	081150
티피씨글로벌	130740
팅크웨어	084730
파나진	046210
파라다이스	034230
파라텍	033540
파루	043200
파마리서치프로덕트	214450
파멥신	208340
파미셀	005690
파버나인	177830
파세코	037070
파수닷컴	150900
파워넷	037030
파워로직스	047310
파이오링크	170790
파인넥스	123260
파인디앤씨	049120
파인디지털	038950
파인테크닉스	106240
파인텍	131760
파커스	065690
파크시스템스	140860
파트론	091700
파티게임즈	194510
팍스넷	038160
판타지오	032800
팜스웰바이오	043090
팜스코	036580
팜스토리	027710
패션플랫폼	225590
팬스타엔터프라이즈	054300
팬엔터테인먼트	068050
팬오션	028670
팬젠	222110
퍼스텍	010820
퍼시스	016800
퍼시픽바이오	060900
펄어비스	263750
페이퍼코리아	001020
펩트론	087010
평화산업	090080
평화정공	043370
평화홀딩스	010770
포메탈	119500
포비스티앤씨	016670
포스링크	056730
포스코	005490
포스코 ICT	022100
포스코강판	058430
포스코엠텍	009520
포스코인터내셔널	047050
포스코케미칼	003670
포시에스	189690
포티스	141020
폴루스바이오팜	007630
푸드나무	290720
푸드웰	005670
푸른기술	094940
풀무원	017810
풍강	093380
풍국주정	023900
풍산	103140
풍산홀딩스	005810
퓨전데이타	195440
퓨쳐스트림네트웍스	214270
퓨쳐켐	220100
프럼파스트	035200
프로스테믹스	203690
프로텍	053610
프리엠스	053160
플랜티넷	075130
플레이위드	023770
피델릭스	032580
피씨디렉트	051380
피씨엘	241820
피앤씨테크	237750
피앤이솔루션	131390
피앤텔	054340
피에스엠씨	024850
피에스케이홀딩스	031980
피에스텍	002230
피엔티	137400
피제이메탈	128660
피제이전자	006140
픽셀플러스	087600
필룩스	033180
필링크	064800
필옵틱스	161580
하나금융10호스팩	270520
하나금융11호스팩	284620
하나금융9호스팩	261200
하나마이크론	067310
하나머스트제6호스팩	307160
하나머티리얼즈	166090
하나제약	293480
하나투어	039130
하림	136480
하림지주	003380
하이골드12호	172580
하이골드3호	153360
하이골드8호	159650
하이로닉	149980
하이록코리아	013030
하이비젼시스템	126700
하이셈	200470
하이스틸	071090
하이즈항공	221840
하이텍팜	106190
하이트론씨스템즈	019490
하이트진로	000080
하이트진로홀딩스	000140
하츠	066130
한국가구	004590
한국가스공사	036460
한국경제TV	039340
한국공항	005430
한국기업평가	034950
한국내화	010040
한국단자공업	025540
한국맥널티	222980
한국석유공업	004090
한국선재	025550
한국수출포장공업	002200
한국쉘석유	002960
한국알콜	017890
한국유니온제약	080720
한국전력공사	015760
한국전자금융	063570
한국전자인증	041460
한국전자홀딩스	006200
한국정밀기계	101680
한국정보공학	039740
한국정보인증	053300
한국정보통신	025770
한국제지	002300
한국종합기술	023350
한국주강	025890
한국주철관공업	000970
한국철강	104700
한국카본	017960
한국컴퓨터	054040
한국코퍼레이션	050540
한국콜마	161890
한국콜마홀딩스	024720
한국큐빅	021650
한국타이어	161390
한국타이어월드와이드	000240
한국테크놀로지	053590
한국특수형강	007280
한국팩키지	037230
한국프랜지공업	010100
한국항공우주	047810
한국화장품	123690
한국화장품제조	003350
한글과컴퓨터	030520
한네트	052600
한농화성	011500
한독	002390
한라	014790
한라IMS	092460
한라홀딩스	060980
한류AI센터	222810
한류타임즈	039670
한미글로벌	053690
한미반도체	042700
한미사이언스	008930
한미약품	128940
한빛소프트	047080
한샘	009240
한섬	020000
한성기업	003680
한세실업	105630
한세엠케이	069640
한세예스24홀딩스	016450
한솔로지스틱스	009180
한솔시큐어	070300
한솔씨앤피	221610
한솔인티큐브	070590
한솔제지	213500
한솔케미칼	014680
한솔테크닉스	004710
한솔피엔에스	010420
한솔홀딩스	004150
한솔홈데코	025750
한송네오텍	226440
한신공영	004960
한신기계공업	011700
한양디지텍	078350
한양이엔지	045100
한온시스템	018880
한올바이오파마	009420
한익스프레스	014130
한일네트웍스	046110
한일단조	024740
한일사료	005860
한일시멘트	300720
한일진공	123840
한일철강	002220
한일현대시멘트	006390
한일홀딩스	003300
한일화학	007770
한전KPS	051600
한전기술	052690
한전산업	130660
한진	002320
한진중공업	097230
한진중공업홀딩스	003480
한진칼	180640
한창	005110
한창산업	079170
한창제지	009460
한컴MDS	086960
한컴시큐어	054920
한컴유니맥스	215090
한컴지엠디	077280
한탑	002680
한프	066110
한화	000880
한화갤러리아타임월드	027390
한화에어로스페이스	012450
한화케미칼	009830
해덕파워웨이	102210
해마로푸드서비스	220630
해성디에스	195870
해성산업	034810
해성옵틱스	076610
해태제과식품	101530
핸디소프트	220180
핸즈코퍼레이션	143210
헬릭스미스	084990
현대건설	000720
현대건설기계	267270
현대공업	170030
현대그린푸드	005440
현대글로비스	086280
현대로템	064350
현대리바트	079430
현대모비스	012330
현대미포조선	010620
현대바이오	048410
현대백화점	069960
현대비앤지스틸	004560
현대사료	016790
현대상선	011200
현대약품	004310
현대에이치씨엔	126560
현대엘리베이터	017800
현대오토에버	307950
현대위아	011210
현대일렉트릭	267260
현대자동차	005380
현대정보기술	026180
현대제철	004020
현대종합상사	011760
현대중공업	009540
현대중공업지주	267250
현대코퍼레이션홀딩스	227840
현대통신	039010
현대홈쇼핑	057050
현성바이탈	204990
현우산업	092300
현진소재	053660
형지I&C	011080
형지엘리트	093240
혜인	003010
호전실업	111110
호텔신라	008770
홈센타홀딩스	060560
홈캐스트	064240
화성밸브	039610
화성산업	002460
화승알앤에이	013520
화승엔터프라이즈	241590
화승인더스트리	006060
화신	010690
화신정공	126640
화신테크	086250
화이브라더스코리아	204630
화인베스틸	133820
화일약품	061250
화진	134780
화천기계	010660
화천기공	000850
환인제약	016580
황금에스티	032560
효성	004800
효성 ITX	094280
효성오앤비	097870
효성중공업	298040
효성첨단소재	298050
효성티앤씨	298020
효성화학	298000
후성	093370
휘닉스소재	050090
휠라코리아	081660
휴네시온	290270
휴니드테크놀러지스	005870
휴림로봇	090710
휴마시스	205470
휴맥스	115160
휴맥스홀딩스	028080
휴메딕스	200670
휴비스	079980
휴비츠	065510
휴스틸	005010
휴온스	243070
휴온스글로벌	084110
휴젤	145020
휴켐스	069260
흥구석유	024060
흥국	010240
흥국에프엔비	189980
흥아해운	003280
희림	037440
힘스	238490
